SPECIES,M160a,M160b,M280a,M280b,M530a,M530b,M820a,M820b,M990a,M990b,M1220a,M1220b
Diplopeltoides ornata,0,0,0,0,0,1.193131227,0,0,0,6.101475188,0,0
Diplopeltula,0,0,0,0,0,0,1.155306845,0,0,0,0,0
Diplopeltula M1,0,0,0,0,0,0,0,0,0,0,0,1.303687178
Diplopeltula M10,0,2.960208756,1.183018098,0,0,0,0,0,0,0,1.115981304,0
Diplopeltula M11,0,0,0,1.209342047,0,0,0,0,0,0,0,0
Diplopeltula M12,3.241168206,5.462581211,0,0,0,0,0,0,0,0,0,0
Diplopeltula M2,0,0,0,0,0,0,0,0,0,3.604143167,0,0
Diplopeltula M3,0,0,0,0,0,0,0,1.24804248,1.312392939,1.248094015,0,0
Diplopeltula M4,1.900233501,0,0,0,0,0,1.106698893,0,1.241135865,0,1.115981304,0
Diplopeltula M5,0,0,1.183018098,1.209342047,0,0,0,0,1.241135865,0,0,0
Diplopeltula M6,0,0,0,0,0,0,1.106698893,0,0,0,0,0
Diplopeltula M7,0,0,0,0,1.285562573,2.92011632,4.284443716,1.09898299,0,0,0,0
Diplopeltula M8,0,0,0,0,0,2.900820397,0,0,0,0,0,0
Diplopeltula M9,1.900233501,0,7.318816913,0,2.53002864,0,3.368704631,9.660642606,0,0,0,0
Disconema M1,0,7.240803425,0,0,0,0,0,0,0,0,0,0
Disconema M2,0,1.340656528,0,0,0,0,0,0,0,0,0,0
Draconema,0,0,0,1.209342047,0,0,0,0,0,0,0,0
Draconema M1,0,2.960208756,2.879411276,0,0,0,0,1.09898299,0,0,0,0
Elzalia M1,2.04999425,4.300166297,0,0,0,0,0,0,0,0,0,0
Enoplida,0,0,0,0,0,1.173433306,0,1.24804248,0,0,0,0
Epsilonema M1,2.04999425,0,0,0,0,0,0,0,0,0,0,0
Eubostrichus M1,1.191173956,0,0,0,0,0,0,0,0,0,0,0
Fenestrolaimus M1,0,0,0,0,0,1.193131227,0,1.07296373,0,0,0,0
Filipjevia M1,0,0,1.25658754,0,0,0,0,0,0,0,0,0
Gammanema mediterraneum,0,3.721405293,0,2.330123651,0,0,0,0,0,0,0,0
Glochinematinae M1,0,0,0,0,0,0,0,0,0,1.372789018,0,0
Gomphionchus (aff) M1,0,0,0,5.469591348,0,0,0,0,0,0,0,0
Greeffiella M1,0,0,0,0,0,0,0,0,0,0,0,2.333317
Halalaimus,0,17.06016886,3.622623736,2.330123651,9.286613561,5.477228091,6.737409263,5.618837188,8.833171169,7.348997208,0,2.2500675
Halalaimus delamarei,0,0,0,0,0,0,0,1.24804248,1.241135865,0,0,0
Halalaimus M1,0,0,3.682231093,0,0,1.193131227,0,0,0,1.372789018,0,0
Halalaimus M10,0,0,0,1.120781604,0,0,0,0,0,0,0,0
Halalaimus M11,0,0,0,0,0,0,0,0,1.270450484,0,0,0
Halalaimus M12,0,0,0,0,0,0,0,0,0,1.248094015,1.274293354,0
Halalaimus M13,0,0,1.183018098,0,1.315487214,2.92011632,0,0,0,0,0,0
Halalaimus M14,0,2.960208756,1.183018098,1.120781604,3.845116859,3.578991684,5.630710369,4.847079471,2.722651606,9.629542964,2.72995062,1.500155999
Halalaimus M15,0,0,0,0,0,0,0,0,0,0,0,1.166824999
Halalaimus M16,0,0,0,0,0,0,0,0,1.177094698,1.142846857,0,0
Halalaimus M17,0,0,1.183018098,1.120781604,0,0,0,0,0,1.142846857,0,0
Halalaimus M18,0,0,0,0,0,0,1.106698893,0,0,1.248094015,0,0
Halalaimus M19,0,0,0,0,0,0,0,0,1.177094698,0,2.744188535,0
Halalaimus M2,0,0,0,0,0,0,0,0,2.511135355,0,1.264462413,0
Halalaimus M20,0,0,0,0,0,0,0,0,0,0,0,1.303687178
Halalaimus M21,0,0,0,0,0,0,2.786711213,0,0,0,0,0
Halalaimus M22,0,0,0,0,0,0,0,1.09898299,0,0,0,0
Halalaimus M23,0,0,0,0,1.315487214,0,0,0,0,0,0,0
